    # Energy          Si          Ti          Cr          Fe          Ni
   -16.70672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.69772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.68772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.67772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.66872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.65872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.64972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.63972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.62972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.62072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.61072     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.60172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.59172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.58172     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.57272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.56272     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.55372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.54372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.53372     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.52472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.51472     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.50572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.49572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.48572     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.47672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.46672     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.45772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.44772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.43772     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.42872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.41872     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.40972     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.39972     0.00000     0.00000     0.00000     0.00000     0.00000
